label,image_path,xmin,ymin,xmax,ymax,image_width,image_height
Sunglasses,916410_500752646778013_754250637_n.jpg,437,363,586,419,1080,1349
Coat,916410_500752646778013_754250637_n.jpg,121,432,1038,1267,1080,1349
Jeans,916410_500752646778013_754250637_n.jpg,361,1155,781,1339,1080,1349
Hoodie,916410_500752646778013_754250637_n.jpg,278,504,810,1077,1080,1349
Tank,917087_756923984338273_1710536973_n.jpg,259,390,523,639,640,640
Sunglasses,891415_355431871283534_658928153_n.jpg,278,89,407,157,640,640
Jacket,891415_355431871283534_658928153_n.jpg,4,158,532,631,640,640
Shirt,917212_826598340714042_1378482223_n.jpg,252,182,453,631,640,640
Headwear,917212_826598340714042_1378482223_n.jpg,211,7,409,144,640,640
Jacket,917212_826598340714042_1378482223_n.jpg,170,103,538,631,640,640
Belt,917275_393060794159233_974704718_n.jpg,182,540,445,603,640,640
Jeans,917275_393060794159233_974704718_n.jpg,171,508,449,639,640,640
Sunglasses,918123_1385403721696528_1928556743_n.jpg,2,114,154,187,640,640
Brassiere,918123_1385403721696528_1928556743_n.jpg,107,369,280,599,640,640
Swimwear,918123_1385403721696528_1928556743_n.jpg,4,321,285,628,640,640
Swimwear,918123_1385403721696528_1928556743_n.jpg,361,502,536,631,640,640
_Underwear,918123_1385403721696528_1928556743_n.jpg,363,504,540,635,640,640
Dress,923649_529083937214797_1248700324_n.jpg,277,188,405,389,640,640
Dress,923649_529083937214797_1248700324_n.jpg,74,234,205,405,640,640
Dress,923649_529083937214797_1248700324_n.jpg,423,186,548,398,640,640
Jacket,923649_529083937214797_1248700324_n.jpg,70,184,220,346,640,640
Jacket,923649_529083937214797_1248700324_n.jpg,244,170,401,341,640,640
Jacket,923649_529083937214797_1248700324_n.jpg,374,180,541,299,640,640
Top,923871_931851470165830_1455471119_n.jpg,482,85,590,237,640,640
Headwear,923871_931851470165830_1455471119_n.jpg,300,2,375,78,640,640
Blouse,923871_931851470165830_1455471119_n.jpg,31,83,178,285,640,640
Blouse,923871_931851470165830_1455471119_n.jpg,271,107,416,287,640,640
Trousers,923871_931851470165830_1455471119_n.jpg,28,233,166,607,640,640
Trousers,923871_931851470165830_1455471119_n.jpg,233,266,411,570,640,640
Trousers,923871_931851470165830_1455471119_n.jpg,488,239,611,557,640,640
Footwear,923871_931851470165830_1455471119_n.jpg,499,569,566,631,640,640
Footwear,923871_931851470165830_1455471119_n.jpg,563,555,633,622,640,640
Footwear,923871_931851470165830_1455471119_n.jpg,364,561,408,631,640,640
Footwear,923871_931851470165830_1455471119_n.jpg,219,554,269,635,640,640
Footwear,923871_931851470165830_1455471119_n.jpg,116,599,172,639,640,640
Footwear,923871_931851470165830_1455471119_n.jpg,44,600,85,640,640,640
Sunglasses,924142_1544674415819289_216343902_n.jpg,301,45,347,70,640,640
Tank,924142_1544674415819289_216343902_n.jpg,293,98,377,234,640,640
Handbag,924142_1544674415819289_216343902_n.jpg,339,366,453,500,640,640
Jeans,924142_1544674415819289_216343902_n.jpg,225,230,389,505,640,640
Footwear,924142_1544674415819289_216343902_n.jpg,257,502,327,603,640,640
Footwear,924142_1544674415819289_216343902_n.jpg,306,520,354,616,640,640
Jacket,924142_1544674415819289_216343902_n.jpg,235,109,432,350,640,640
Dress,924429_692750864146805_174352116_n.jpg,218,159,441,609,640,640
Skirt,924545_642050469260633_527566613_n.jpg,8,287,475,620,640,640
Skirt,924545_642050469260633_527566613_n.jpg,224,230,625,542,640,640
Shirt,924739_1609784995920278_265002110_n.jpg,311,226,612,567,640,640
Jeans,924739_1609784995920278_265002110_n.jpg,356,560,611,629,640,640
